=== offrl | battle-gen9ou-101923 | won=True turns=142 | preview=/team 156432
team packed: dragonite,kingambit,greattusk,rotomwash,gholdengo,zamazenta | live: dragonite,kingambit,greattusk,rotomwash,gholdengo,zamazenta | ORDER MATCH
T1   dragonite 100% vs greattusk 100% | legal=13 | -> tera0 '/choose move dragondance terastallize' p=0.97 | alt: tera3 0.03, tera2 0.00
T2   dragonite 100% vs corviknight 100% | legal=9 | -> move0 '/choose move dragondance' p=0.96 | alt: switch3 0.01, switch2 0.01
T3   dragonite 100% vs greattusk 100% | legal=9 | -> move0 '/choose move dragondance' p=0.97 | alt: switch3 0.01, switch2 0.00
T4   dragonite 37% vs greattusk 100% | legal=9 | -> move0 '/choose move dragondance' p=0.96 | alt: switch3 0.01, switch2 0.01
T5   dragonite 18% vs greattusk 100% | legal=9 | -> move0 '/choose move dragondance' p=0.94 | alt: switch3 0.02, switch1 0.01
T6   dragonite 18% vs tinglu 100% | legal=9 | -> move0 '/choose move dragondance' p=0.94 | alt: switch3 0.02, switch2 0.01
T7   dragonite 18% vs tinglu 100% | legal=9 | -> move0 '/choose move dragondance' p=0.94 | alt: switch3 0.02, switch2 0.01
T8   dragonite 18% vs tinglu 100% | legal=9 | -> move0 '/choose move dragondance' p=0.95 | alt: switch3 0.01, switch2 0.01
T8   dragonite 0% vs tinglu 100% | legal=5 | -> switch3 '/choose switch Rotom' p=0.33 | alt: switch2 0.19, switch4 0.18 | FORCED
T9   rotomwash 100% vs tinglu 100% | legal=8 | -> switch4 '/choose switch Gholdengo' p=0.38 | alt: switch1 0.26, switch5 0.22
T10  gholdengo 100% vs tinglu 100% | legal=8 | -> switch3 '/choose switch Rotom' p=0.32 | alt: switch5 0.27, switch1 0.24
T11  rotomwash 100% vs gholdengo 100% | legal=8 | -> switch4 '/choose switch Gholdengo' p=0.38 | alt: switch1 0.25, switch5 0.23
T12  gholdengo 100% vs tinglu 100% | legal=8 | -> switch3 '/choose switch Rotom' p=0.32 | alt: switch5 0.27, switch1 0.24
T13  rotomwash 100% vs tinglu 100% | legal=8 | -> switch4 '/choose switch Gholdengo' p=0.37 | alt: switch1 0.25, switch5 0.21
T14  gholdengo 100% vs clefable 100% | legal=8 | -> switch3 '/choose switch Rotom' p=0.32 | alt: switch5 0.25, switch1 0.24
T15  rotomwash 100% vs tinglu 100% | legal=8 | -> switch4 '/choose switch Gholdengo' p=0.37 | alt: switch1 0.25, switch5 0.22
T16  gholdengo 100% vs greattusk 100% | legal=8 | -> switch3 '/choose switch Rotom' p=0.30 | alt: switch5 0.28, switch1 0.23
T17  rotomwash 100% vs gholdengo 100% | legal=8 | -> switch4 '/choose switch Gholdengo' p=0.37 | alt: switch1 0.25, switch5 0.24
T18  gholdengo 100% vs kingambit 100% | legal=8 | -> switch3 '/choose switch Rotom' p=0.30 | alt: switch5 0.29, switch1 0.24
T19  rotomwash 100% vs kingambit 100% | legal=8 | -> switch4 '/choose switch Gholdengo' p=0.36 | alt: switch1 0.25, switch5 0.23
T20  gholdengo 100% vs clefable 100% | legal=8 | -> switch3 '/choose switch Rotom' p=0.32 | alt: switch5 0.26, switch1 0.24
T21  rotomwash 100% vs tinglu 100% | legal=8 | -> switch4 '/choose switch Gholdengo' p=0.38 | alt: switch1 0.24, switch5 0.22
T22  gholdengo 100% vs corviknight 100% | legal=8 | -> switch3 '/choose switch Rotom' p=0.29 | alt: switch5 0.29, switch1 0.23
T23  rotomwash 88% vs corviknight 100% | legal=8 | -> switch4 '/choose switch Gholdengo' p=0.34 | alt: switch1 0.25, switch5 0.25
T24  gholdengo 79% vs corviknight 100% | legal=8 | -> switch3 '/choose switch Rotom' p=0.29 | alt: switch5 0.28, switch1 0.25
T25  rotomwash 69% vs corviknight 100% | legal=8 | -> switch4 '/choose switch Gholdengo' p=0.34 | alt: switch1 0.26, switch5 0.25
T26  gholdengo 54% vs corviknight 100% | legal=8 | -> switch3 '/choose switch Rotom' p=0.29 | alt: switch5 0.28, switch1 0.25
T27  rotomwash 75% vs corviknight 100% | legal=8 | -> switch4 '/choose switch Gholdengo' p=0.35 | alt: switch1 0.27, switch5 0.24
T28  gholdengo 54% vs greattusk 100% | legal=8 | -> switch3 '/choose switch Rotom' p=0.29 | alt: switch5 0.28, switch1 0.25
T29  rotomwash 61% vs greattusk 100% | legal=8 | -> switch4 '/choose switch Gholdengo' p=0.37 | alt: switch1 0.26, switch5 0.23
T30  gholdengo 54% vs corviknight 100% | legal=8 | -> switch3 '/choose switch Rotom' p=0.29 | alt: switch5 0.28, switch1 0.26
T31  rotomwash 67% vs kingambit 100% | legal=8 | -> switch4 '/choose switch Gholdengo' p=0.38 | alt: switch1 0.26, switch5 0.23
T32  gholdengo 54% vs kingambit 100% | legal=8 | -> switch3 '/choose switch Rotom' p=0.29 | alt: switch5 0.28, switch1 0.26
T33  rotomwash 74% vs gholdengo 100% | legal=8 | -> switch4 '/choose switch Gholdengo' p=0.38 | alt: switch1 0.25, switch5 0.23
T33  gholdengo 0% vs gholdengo 100% | legal=4 | -> switch3 '/choose switch Rotom' p=0.30 | alt: switch5 0.28, switch1 0.25 | FORCED
T34  rotomwash 74% vs gholdengo 100% | legal=7 | -> switch1 '/choose switch Kingambit' p=0.41 | alt: switch5 0.38, switch2 0.17
T35  kingambit 84% vs gholdengo 100% | legal=7 | -> switch5 '/choose switch Zamazenta' p=0.43 | alt: switch3 0.35, switch2 0.21
T36  zamazenta 74% vs gholdengo 100% | legal=7 | -> switch1 '/choose switch Kingambit' p=0.42 | alt: switch3 0.36, switch2 0.20
T37  kingambit 52% vs gholdengo 100% | legal=7 | -> switch5 '/choose switch Zamazenta' p=0.43 | alt: switch3 0.35, switch2 0.21
T38  zamazenta 80% vs tinglu 100% | legal=7 | -> switch1 '/choose switch Kingambit' p=0.36 | alt: switch3 0.35, switch2 0.24
T39  kingambit 58% vs clefable 100% | legal=7 | -> switch5 '/choose switch Zamazenta' p=0.39 | alt: switch3 0.36, switch2 0.22
T40  zamazenta 86% vs corviknight 100% | legal=7 | -> switch1 '/choose switch Kingambit' p=0.42 | alt: switch3 0.35, switch2 0.20
T41  kingambit 64% vs tinglu 100% | legal=7 | -> switch5 '/choose switch Zamazenta' p=0.42 | alt: switch3 0.36, switch2 0.20
T42  greattusk 100% vs tinglu 100% | legal=7 | -> switch1 '/choose switch Kingambit' p=0.31 | alt: switch5 0.30, switch3 0.30
T43  kingambit 70% vs corviknight 100% | legal=7 | -> switch5 '/choose switch Zamazenta' p=0.43 | alt: switch3 0.35, switch2 0.20
T44  zamazenta 92% vs corviknight 100% | legal=7 | -> switch1 '/choose switch Kingambit' p=0.42 | alt: switch3 0.35, switch2 0.20
T44  kingambit 0% vs corviknight 100% | legal=3 | -> switch5 '/choose switch Zamazenta' p=0.42 | alt: switch3 0.37, switch2 0.21 | FORCED
T45  zamazenta 92% vs corviknight 100% | legal=6 | -> switch3 '/choose switch Rotom' p=0.60 | alt: switch2 0.35, move2 0.03
T46  rotomwash 80% vs corviknight 100% | legal=6 | -> switch5 '/choose switch Zamazenta' p=0.63 | alt: switch2 0.31, move2 0.04
T47  zamazenta 37% vs corviknight 87% | legal=6 | -> switch3 '/choose switch Rotom' p=0.60 | alt: switch2 0.35, move2 0.03
T48  rotomwash 86% vs clefable 100% | legal=6 | -> switch5 '/choose switch Zamazenta' p=0.59 | alt: switch2 0.32, move2 0.06
